safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
go the whole hog	ทำทุกสิ่งที่เป็นไปได้
across	ตามขวาง
pen3	สถานดัดสันดาน (คำสแลง)
put a name to	จำชื่อของ
scallywag	จอมเกเร (มักใช้กับเด็ก)
mannequin	หุ่นแสดงแบบ
defense	สิ่งคุ้มกัน
bamboozle	หลอกลวง (คำสแลง)
Utah	รัฐยูท่าห์ของสหรัฐอเมริกา
sausage	ไส้กรอก
meningitis	เยื่อหุ้มสมองอักเสบ
give under	ให้สัญญาเพราะ
abdomen	ท้อง
orchid	ดอกกล้วยไม้
fat	ไขมัน
watering place	สถานที่ตากอากาศที่มีบ่อน้ำแร่
hard drug	ยาเสพติดให้โทษที่รุนแรงมาก เช่น เฮโรอีน โคเคน
fieldwork	การทำป้อมปราการของทหาร
mixed farming	การทำฟาร์มแบบผสมผสานระหว่างการปลูกพืชและเลี้ยงสัตว์
halfway	ครึ่งทาง
deprecastingly	อย่างไม่เห็นด้วย
salaciosly	อย่างลามก
transit	การเดินทางผ่าน
lieutenant	ร้อยโท
walk up	เดินเข้ามา
suitable	เหมาะสม
litterbug	บุคคลผู้เที่ยวทิ้งสิ่งของระเกะระกะไปตามถนนหรือที่สาธารณะ
woodlander	ผู้อาศัยอยู่ในป่า
facsimile	ถ่ายสำเนา
posh wank1	การร่วมเพศกันโดยใช้มือ
vacillatingly	อย่างไม่แน่นอน
electropositive	ซึ่งมีประจุไฟฟ้าบวก
flint	หินที่ใช้เป็นเครื่องมือของคนในยุคก่อนประวัติศาสตร์
peccable	ซึ่งมีแนวโน้มที่จะทำผิดบาปได้
jerky 2	เนื้อแผ่นบางๆ ที่ถูกตากแดดให้แห้ง
weatherboard	กันสาด
destitute	แร้นแค้น
postelcourse	หลักสูตรการเรียนทางไปรษณีย์
persistently	อย่างติดต่อกัน
minutely	ทุกนาที
unsuitableness	ความไม่เหมาะสม
enameling	การเคลือบ
tropism	การตอบสนองสิ่งเร้า
graduate in	วัดเป็น (หน่วย)
renaissance	การฟื้นฟูใหม่
intercultural	ซึ่งเกิดระหว่างคนหรือวัฒนธรรมที่แตกต่างกัน
nominee	ผู้ได้รับการเสนอชื่อเข้าชิงตำแหน่ง
portable	สิ่งที่ออกแบบให้พกพาได้
hot spring	บ่อน้ำร้อน
class	ประเภทหรือชนิด
tersely	อย่างกะทัดรัด
groundling	ปลาน้ำจืดแถบน้ำลึก
rejuvenated	ซึ่งกระปรี้กระเปร่า
volatilize	ทำให้กลายเป็นไอ
trey	แต้ม
wipe away	ขัดออก
wrangle	การทะเลาะ
fool about with	มีความสัมพันธ์ทางเพศกับผู้อื่นโดยไม่ยั้งคิด
bring someone to himself	ทำให้ฟื้น
transaction	ความสัมพันธ์ระหว่างบุคคล
fat chance	ความเป็นไปไม่ได้
angling	การตกปลา
bite back	กัดตอบ
broach	เริ่มพูดคุยในเรื่องที่น่าอับอายหรือคนอื่นไม่ยอมรับ
standard time	เวลามาตรฐาน
stenosis	การตีบของรู
synthesis	การสังเคราะห์
bungler	ผู้ที่ทำเสียหาย
guide dog	สุนัขนำทาง
noose	ทำบ่วงหรือห่วง
mart	ศูนย์การค้า
attest	พิสูจน์ว่าจริง
automatically	โดยอัตโนมัติ
indiscriminately	อย่างขาดการพิจารณา
jural	เกี่ยวกับกฎหมาย
straight away	ทันทีทันใด
unmitigated	ไม่ลดน้อยลง
voider	ผู้ทำให้เป็นโมฆะ
audio	ที่เกี่ยวกับความถี่ของเครื่องเสียง
well-wired	ซึ่งเป็นที่รู้จักกันในธุรกิจการค้า
serve to	นำไปให้
wame	ท้อง (เป็นคำที่ใช้กันในสก็อตแลนด์)
do	เสพยา
knock on1	เคาะให้สัญญาณนักแสดง (การละคร)
premeditate	ไตร่ตรองล่วงหน้า
gash	รอยแผลซึ่งแคบลึกบนผิวหนัง
erg2	พื้นที่ในทะเลทรายที่มีลมพัดกวาดทำให้ทรายปลิวไปมา โดยเฉพาะในทะเลทรายซาฮาร่า
army engineer	ทหารช่าง
democracy	ประชาธิปไตย
dull up	ทำให้ทึ่ง
ratter	สุนัขหรือแมวที่ชอบจับหนู
regimental	เกี่ยวกับกรมทหาร
